texmf-dist/tex/latex/exam-zh/exam-zh.cls:1612:21:1612:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1612:54:1612:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1632:1:1632:83: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1666:1:1666:85: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1673:1:1673:83: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1680:1:1680:83: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1696:45:1696:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1696:47:1696:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1714:10:1714:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1714:11:1714:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1715:10:1715:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1715:11:1715:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1718:1:1718:86: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1722:10:1722:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1722:11:1722:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1725:1:1725:94: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1745:10:1745:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1745:11:1745:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1746:10:1746:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1746:11:1746:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1749:1:1749:86: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1753:10:1753:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1753:11:1753:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1756:1:1756:94: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1758:1:1758:83: s103 line too long
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1773:10:1773:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1773:11:1773:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/exam-zh/exam-zh.cls:1774:10:1774:10: s204 missing stylistic whitespaces
